marker,key,randoxCode,resultType,panels,healthAreas,duplicateGroup,templateFamily,reviewStatus,reviewedBy,chars,flags,whatItIs,highMeans,lowMeans,lifestyleContext
"AFP","afp","","MEASURED","Insight 360; Signature","Tumour Markers","","","DRAFT","","235","","Alpha-fetoprotein, produced in large amounts before birth and in small amounts in adults. It is used as a tumour marker for certain liver and germ cell tumours, and it also rises in pregnancy and in some non-cancerous liver conditions.","","",""
"ALT (Alanine Aminotransferase)","alt","","MEASURED","Ran Chip Insight 360; Advanced GP3 (Female); Advanced GP3 (Male); Signature; Core; Insight 360","Liver Health","","","DRAFT","Ada Admin","235","","An enzyme found mainly in the liver; raised levels can signal liver cell stress.","Can reflect fatty liver, alcohol intake, medication effects, or viral hepatitis.","","Alcohol reduction, weight management, and reviewing medications can help."
"AMH (Anti-Müllerian Hormone)","amh","","MEASURED","HSC14 Fertility; Ran Chip Insight 360; Advanced GP3 (Male); Advanced GP3 (Female); Signature; Nutritional Health HSC15; RP3 Metabolic Syndrome; RP10 Heart Health; Core; Insight 360","","","","DRAFT","","278","","A hormone that reflects your remaining ovarian egg reserve.","Can be associated with conditions such as PCOS.","Suggests a lower ovarian reserve. Relevant context for fertility planning, not a diagnosis.","AMH declines naturally with age; a single result is best discussed in context."
"ASO","aso","","MEASURED","Insight 360; Signature","Infection & Inflammation","","","DRAFT","","213","","Antistreptolysin O, an antibody made against a toxin produced by group A streptococcus bacteria. It is used to establish whether there has been a recent streptococcal infection rather than to detect a current one.","","",""
"AST (Aspartate Aminotransferase)","ast","","MEASURED","Ran Chip Insight 360; Advanced GP3 (Female); Advanced GP3 (Male); Core; Insight 360; Signature","Liver Health","","","DRAFT","","194","","An enzyme found in the liver and muscles; raised levels can signal cell stress.","Can reflect liver strain, muscle damage, or heavy alcohol intake.","","Interpreted alongside ALT and the AST:ALT ratio."
"Acinetobacter baumannii","acinetobacter-baumannii","","QUALITATIVE","Signature","UTI","","","DRAFT","","182","","Acinetobacter baumannii, a bacterium widespread in the environment and associated with infections acquired in hospital. The panel reports whether it was detected in the urine sample.","","",""
"Adiponectin","adiponectin","","MEASURED","Insight 360; Signature","Metabolic Syndrome","","","DRAFT","","193","","A hormone released by fat tissue that acts on how the body handles glucose and fats. It is measured chiefly in metabolic research and has no established clinical interpretation in routine care.","","",""
"Agar Agar (IgG)","agar-agar-igg","","SENSITIVITY","Signature","Food Sensitivity: Misc","","yes","DRAFT","","396","TEMPLATE-FAMILY","Measures IgG antibodies to Agar Agar in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Agar Agar.","","",""
"Albumin","albumin","","MEASURED","Ran Chip Insight 360; Nutritional Health HSC15; Core; Insight 360; Signature","Kidney Health; Liver Health; Nutritional Health; Male Hormone; Infection & Inflammation","","","DRAFT","","199","","The main protein made by your liver, important for fluid balance and transport.","","Can reflect liver disease, inflammation, or poor nutrition.","Adequate protein intake supports levels in the usual range."
"Aldolase","aldolase","","MEASURED","Insight 360; Signature","Liver Health; Muscle & Joint Health","","","DRAFT","","144","","An enzyme used in the breakdown of glucose for energy, present in both muscle and liver. It passes into the blood when either tissue is damaged.","","",""
"Alkaline Phosphatase (ALP)","alp","","MEASURED","Ran Chip Insight 360; Core; Insight 360; Signature","Liver Health; Bone Health","","","DRAFT","","152","","An enzyme found in the liver and bone.","Can reflect bile duct issues, liver conditions, or bone turnover.","","Naturally higher during bone growth or healing."
"Almond (IgG)","almond-igg","","SENSITIVITY","Signature","Food Sensitivity: Nuts & Seeds","","yes","DRAFT","","390","TEMPLATE-FAMILY","Measures IgG antibodies to Almond in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Almond.","","",""
"Aloe Vera (IgG)","aloe-vera-igg","","SENSITIVITY","Signature","Food Sensitivity: Misc","","yes","DRAFT","","396","TEMPLATE-FAMILY","Measures IgG antibodies to Aloe Vera in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Aloe Vera.","","",""
"Alpha-Lactalbumin (IgG)","alpha-lactalbumin-igg","","SENSITIVITY","Signature","Food Sensitivity: Dairy & Eggs","","yes","DRAFT","","412","TEMPLATE-FAMILY","Measures IgG antibodies to Alpha-Lactalbumin in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Alpha-Lactalbumin.","","",""
"Amaranth (IgG)","amaranth-igg","","SENSITIVITY","Signature","Food Sensitivity: Grains","","yes","DRAFT","","394","TEMPLATE-FAMILY","Measures IgG antibodies to Amaranth in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Amaranth.","","",""
"Anchovy (IgG)","anchovy-igg","","SENSITIVITY","Signature","Food Sensitivity: Fish & Seafood","","yes","DRAFT","","392","TEMPLATE-FAMILY","Measures IgG antibodies to Anchovy in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Anchovy.","","",""
"Aniseed (IgG)","aniseed-igg","","SENSITIVITY","Signature","Food Sensitivity: Herbs & Spices","","yes","DRAFT","","392","TEMPLATE-FAMILY","Measures IgG antibodies to Aniseed in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Aniseed.","","",""
"Anti-CCP","anti-ccp","","MEASURED","Insight 360; Signature","Autoimmune; Muscle & Joint Health","","","DRAFT","","210","","An antibody directed at citrullinated proteins, which are formed when the body modifies its own proteins during inflammation. It is one of the blood tests used when inflammatory joint disease is being assessed.","","",""
"Anti-Nuclear Antibodies (ANA)","ana","","MEASURED","Insight 360; Signature","Autoimmune","","","DRAFT","","271","","Antibodies that bind to material inside the body’s own cell nuclei, reported as a titre rather than a concentration. The test is a starting point in the assessment of autoimmune connective tissue conditions, and low titres are also found in people with no such condition.","","",""
"Anti-Thyroglobulin Antibody (Anti-Tg)","anti-tg","","MEASURED","Insight 360; Signature","Thyroid Health; Autoimmune","","","DRAFT","","185","","An antibody directed at thyroglobulin, the protein the thyroid gland uses to build its hormones. It is measured when the immune system involvement in thyroid function is being assessed.","","",""
"Anti-Thyroid Peroxidase Antibody (Anti-TPO)","anti-tpo","","MEASURED","Insight 360; Signature","Thyroid Health; Autoimmune","","","DRAFT","","193","","An antibody directed at thyroid peroxidase, an enzyme the thyroid uses to make its hormones. It is read alongside thyroid hormone levels when autoimmune thyroid conditions are being considered.","","",""
"Anti-Tissue Transglutaminase Antibodies","anti-ttg","","MEASURED","Signature; Insight 360","Autoimmune","","","DRAFT","","230","","Antibodies directed at tissue transglutaminase, an enzyme found in the lining of the gut. They are measured when coeliac disease is being investigated, and the result is only interpretable if gluten is still being eaten regularly.","","",""
"ApoB (Apolipoprotein B)","apob","","MEASURED","RP10 Heart Health; Core; Insight 360; Signature","Heart Health","","","DRAFT","","260","","A protein found on the particles that carry “bad” cholesterol. Reflects the number of these particles.","Considered a strong marker of cardiovascular risk, sometimes more precise than LDL alone.","","Responds to the same diet and lifestyle changes as LDL cholesterol."
"Apolipoprotein A-I","apo-a1","","MEASURED","Core; Insight 360; Signature","Heart Health","","","DRAFT","","196","","Apolipoprotein A-I, the main structural protein of HDL cholesterol particles, with roughly one molecule per particle. It is measured as an indicator of how many of those particles are circulating.","","",""
"Apolipoprotein B/A-I Ratio","apo-b-a1-ratio","","MEASURED","Insight 360; Signature","Heart Health","","","DRAFT","","186","","A calculated comparison of apolipoprotein B with apolipoprotein A-I. It is used in cardiovascular risk assessment to relate the two kinds of cholesterol-carrying particle to one another.","","",""
"Apolipoprotein CII","apo-cii","","MEASURED","Insight 360; Signature","Heart Health","","","DRAFT","","213","CROSS-REFERENCES(Triglycerides)","A small protein carried on triglyceride-rich particles, where it switches on the enzyme that breaks triglycerides down. It is measured in the specialist assessment of fat metabolism rather than in routine testing.","","",""
"Apolipoprotein E","apo-e","","MEASURED","Insight 360; Signature","Heart Health","","","DRAFT","","188","","A protein that helps clear fat-carrying particles from the bloodstream. This is a measurement of the protein circulating in blood, and it is a different test from looking at the APOE gene.","","",""
"Apple (IgG)","apple-igg","","SENSITIVITY","Signature","Food Sensitivity: Fruit","","yes","DRAFT","","388","TEMPLATE-FAMILY","Measures IgG antibodies to Apple in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Apple.","","",""
"Apricot (IgG)","apricot-igg","","SENSITIVITY","Signature","Food Sensitivity: Fruit","","yes","DRAFT","","392","TEMPLATE-FAMILY","Measures IgG antibodies to Apricot in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Apricot.","","",""
"Archaeal Composition","archaeal-composition","","COMPOSITION","Signature","Archaeal Composition","","","DRAFT","","266","TEMPLATED","The share of your gut microbiome made up of archaea, single-celled organisms distinct from bacteria and known in the gut chiefly for producing methane. It is a proportion of the whole rather than a count, and how to read it is still an open question in the research.","","",""
"Artichoke (IgG)","artichoke-igg","","SENSITIVITY","Signature","Food Sensitivity: Vegetables","","yes","DRAFT","","396","TEMPLATE-FAMILY","Measures IgG antibodies to Artichoke in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Artichoke.","","",""
"Asparagus (IgG)","asparagus-igg","","SENSITIVITY","Signature","Food Sensitivity: Vegetables","","yes","DRAFT","","396","TEMPLATE-FAMILY","Measures IgG antibodies to Asparagus in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Asparagus.","","",""
"Aubergine (IgG)","aubergine-igg","","SENSITIVITY","Signature","Food Sensitivity: Vegetables","","yes","DRAFT","","396","TEMPLATE-FAMILY","Measures IgG antibodies to Aubergine in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Aubergine.","","",""
"Avocado (IgG)","avocado-igg","","SENSITIVITY","Signature","Food Sensitivity: Fruit","","yes","DRAFT","","392","TEMPLATE-FAMILY","Measures IgG antibodies to Avocado in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Avocado.","","",""
"B2 Microglobulin","b2-microglobulin","","MEASURED","Insight 360; Signature","Kidney Health","","","DRAFT","","223","","A small protein shed from the surface of most cells, filtered by the kidneys and then largely reabsorbed. It is used as a marker of kidney filtration and, in specific settings, in the assessment of certain blood conditions.","","",""
"Bacteria that break down fibre","bacteria-that-break-down-fibre","","COMPOSITION","Signature","Bacterial Composition","","","DRAFT","","191","TEMPLATED","The share of your gut microbiome made up of bacteria that ferment dietary fibre. It is a proportion rather than a count, and there is no agreed range for what any particular proportion means.","","",""
"Bacteria with probiotic properties","bacteria-with-probiotic-properties","","COMPOSITION","Signature","Bacterial Composition","","","DRAFT","","323","TEMPLATED","The share of your gut microbiome made up of groups such as Lactobacillus and Bifidobacterium, which are the ones commonly sold as probiotics. It is a proportion rather than a count, there is no established proportion these groups are expected to make up, and their effects appear to depend heavily on the particular strain.","","",""
"Bacteriophages","bacteriophages","","COMPOSITION","Signature","Viral Composition","","","DRAFT","","238","TEMPLATED","The share of your gut microbiome made up of bacteriophages, which are viruses that infect bacteria rather than human cells. This is the least well understood part of the microbiome and there is no established interpretation of the figure.","","",""
"Banana (IgG)","banana-igg","","SENSITIVITY","Signature","Food Sensitivity: Fruit","","yes","DRAFT","","390","TEMPLATE-FAMILY","Measures IgG antibodies to Banana in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Banana.","","",""
"Barley (IgG)","barley-igg","","SENSITIVITY","Signature","Food Sensitivity: Grains","","yes","DRAFT","","390","TEMPLATE-FAMILY","Measures IgG antibodies to Barley in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Barley.","","",""
"Basil (IgG)","basil-igg","","SENSITIVITY","Signature","Food Sensitivity: Herbs & Spices","","yes","DRAFT","","388","TEMPLATE-FAMILY","Measures IgG antibodies to Basil in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Basil.","","",""
"Basophil Count","basophils","","MEASURED","Core; Insight 360; Signature","Full Blood Count","","","DRAFT","","218","","The least common white blood cell, involved in allergic and inflammatory responses.","Uncommon; usually interpreted alongside the rest of the blood count.","","Read alongside the other white cell types rather than on its own."
"Bass (IgG)","bass-igg","","SENSITIVITY","Signature","Food Sensitivity: Fish & Seafood","","yes","DRAFT","","386","TEMPLATE-FAMILY","Measures IgG antibodies to Bass in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Bass.","","",""
"Bay Leaf (IgG)","bay-leaf-igg","","SENSITIVITY","Signature","Food Sensitivity: Herbs & Spices","","yes","DRAFT","","394","TEMPLATE-FAMILY","Measures IgG antibodies to Bay Leaf in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Bay Leaf.","","",""
"Bean (Broad) (IgG)","bean-broad-igg","","SENSITIVITY","Signature","Food Sensitivity: Vegetables","","yes","DRAFT","","402","TEMPLATE-FAMILY","Measures IgG antibodies to Bean (Broad) in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Bean (Broad).","","",""
"Bean (Green) (IgG)","bean-green-igg","","SENSITIVITY","Signature","Food Sensitivity: Vegetables","","yes","DRAFT","","402","TEMPLATE-FAMILY","Measures IgG antibodies to Bean (Green) in the blood. Producing IgG to a food records exposure to it rather than a problem with it, and it is routinely found in people who eat that food regularly and digest it perfectly well. The allergy and immunology bodies BSACI, EAACI and AAAAI all advise against using IgG food panels to decide what to eat, so a result here is not a reason to avoid Bean (Green).","","",""
